model,inferecne,results
model_quantized.tflite,41.7ms,1_cat 0.99609  0_none 0.00000  2_mouse 0.00000  3_other 0.00000  
model_quantized_edgetpu.tflite,3.8ms,1_cat 0.99609  0_none 0.00000  2_mouse 0.00000  3_other 0.00000  
model_quantized.tflite,69.9ms,1_cat 0.99609  0_none 0.00000  2_mouse 0.00000  3_other 0.00000  
model_quantized_edgetpu.tflite,3.6ms,1_cat 0.99609  0_none 0.00000  2_mouse 0.00000  3_other 0.00000  
model_quantized.tflite,54.6ms,1_cat 0.99609  0_none 0.00000  2_mouse 0.00000  3_other 0.00000  
model_quantized_edgetpu.tflite,3.8ms,1_cat 0.99609  0_none 0.00000  2_mouse 0.00000  3_other 0.00000  
model_quantized.tflite,67.4ms,1_cat 0.99609  0_none 0.00000  2_mouse 0.00000  3_other 0.00000  
model_quantized_edgetpu.tflite,3.6ms,1_cat 0.99609  0_none 0.00000  2_mouse 0.00000  3_other 0.00000  
model_quantized.tflite,52.6ms,1_cat 0.99609  0_none 0.00000  2_mouse 0.00000  3_other 0.00000  
model_quantized_edgetpu.tflite,4.5ms,1_cat 0.99609  0_none 0.00000  2_mouse 0.00000  3_other 0.00000  
model_quantized.tflite,41.3ms,1_cat 0.99609  0_none 0.00000  2_mouse 0.00000  3_other 0.00000  
model_quantized_edgetpu.tflite,3.4ms,1_cat 0.99609  0_none 0.00000  2_mouse 0.00000  3_other 0.00000  
model_quantized.tflite,44.2ms,1_cat 0.98828  3_other 0.01172  0_none 0.00000  2_mouse 0.00000  
model_quantized_edgetpu.tflite,3.6ms,1_cat 0.98828  3_other 0.01172  0_none 0.00000  2_mouse 0.00000  
model_quantized.tflite,50.1ms,1_cat 0.99609  0_none 0.00000  2_mouse 0.00000  3_other 0.00000  
model_quantized_edgetpu.tflite,3.4ms,1_cat 0.99609  0_none 0.00000  2_mouse 0.00000  3_other 0.00000  
model_quantized.tflite,51.3ms,1_cat 0.99609  0_none 0.00000  2_mouse 0.00000  3_other 0.00000  
model_quantized_edgetpu.tflite,3.4ms,1_cat 0.98828  3_other 0.01172  0_none 0.00000  2_mouse 0.00000  
model_quantized.tflite,54.2ms,1_cat 0.99609  3_other 0.00391  0_none 0.00000  2_mouse 0.00000  
model_quantized_edgetpu.tflite,3.6ms,1_cat 0.99609  0_none 0.00000  2_mouse 0.00000  3_other 0.00000  
model_quantized.tflite,57.2ms,0_none 0.99609  1_cat 0.00000  2_mouse 0.00000  3_other 0.00000  
model_quantized_edgetpu.tflite,3.6ms,0_none 0.99609  1_cat 0.00000  2_mouse 0.00000  3_other 0.00000  
model_quantized.tflite,44.9ms,0_none 0.99609  1_cat 0.00000  2_mouse 0.00000  3_other 0.00000  
